Epoch,| bandwidth,d_loss,d_msstftd,adv_msstftd,feat_msstftd,l1,msspec,penalty,ratio1,g_loss,ratio2,mel,sisnr,adv,feat,duration,| sisnr,| duration
1,1.1,1.968,1.968,0.184,0.017,0.056,0.756,0.688,6.136,124.446,2125.637,1.452,28.1,0.184,0.017,1399.607,,
1,1.1,,,0.112,0.031,0.045,0.299,,,,,0.92,26.601,0.112,0.031,204.982,,
2,1.1,1.852,1.852,0.458,0.033,0.046,0.22,0.1,0.279,19.49,780.434,0.744,25.819,0.458,0.033,1337.586,,
2,1.1,,,0.544,0.028,0.045,0.153,,,,,0.603,24.761,0.544,0.028,179.74,,
3,1.1,1.816,1.816,0.473,0.027,0.043,0.125,0.078,0.178,8.287,78.976,0.53,20.673,0.473,0.027,1351.823,,
3,1.1,,,0.373,0.024,0.039,0.105,,,,,0.493,15.187,0.373,0.024,159.847,,
4,1.1,1.81,1.81,0.463,0.022,0.031,0.092,0.148,0.278,7.168,84.89,0.454,6.957,0.463,0.022,1325.864,,
4,1.1,,,0.235,0.019,0.024,0.076,,,,,0.413,-0.016,0.235,0.019,159.146,,
5,1.1,1.782,1.782,0.435,0.02,0.023,0.07,0.186,0.317,4.8,80.464,0.39,-0.442,0.435,0.02,1350.656,,
5,1.1,,,0.146,0.018,0.02,0.062,,,,,0.367,-2.276,0.146,0.018,170.559,,
6,1.1,1.755,1.755,0.426,0.019,0.021,0.06,0.186,0.289,3.872,82.168,0.356,-1.742,0.426,0.019,1329.983,,
6,1.1,,,0.406,0.017,0.019,0.056,,,,,0.338,-3.049,0.406,0.017,164.629,,
7,1.1,1.728,1.728,0.426,0.019,0.02,0.055,0.187,0.268,3.457,76.892,0.339,-2.371,0.426,0.019,1326.11,,
7,1.1,,,0.475,0.017,0.019,0.053,,,,,0.326,-3.482,0.475,0.017,161.358,,
8,1.1,1.722,1.722,0.43,0.018,0.019,0.052,0.199,0.265,3.353,84.612,0.329,-2.747,0.43,0.018,1324.726,,
8,1.1,,,0.442,0.017,0.018,0.05,,,,,0.318,-3.772,0.442,0.017,142.704,,
9,1.1,1.711,1.711,0.432,0.018,0.019,0.05,0.208,0.269,3.183,83.369,0.321,-3.087,0.432,0.018,1322.987,,
9,1.1,,,0.204,0.017,0.018,0.048,,,,,0.31,-4.036,0.204,0.017,149.042,,
10,1.1,1.716,1.716,0.434,0.018,0.018,0.048,0.225,0.279,3.253,89.443,0.315,-3.349,0.434,0.018,1321.498,,
10,1.1,,,0.353,0.017,0.017,0.047,,,,,0.306,-4.194,0.353,0.017,143.872,,
11,1.1,1.724,1.724,0.433,0.018,0.018,0.047,0.252,0.301,3.407,104.334,0.312,-3.49,0.433,0.018,1322.932,,
11,1.1,,,0.567,0.016,0.017,0.046,,,,,0.303,-4.323,0.567,0.016,151.921,,
12,1.1,1.721,1.721,0.435,0.018,0.018,0.046,0.271,0.318,3.457,112.125,0.307,-3.646,0.435,0.018,1323.867,,
12,1.1,,,0.487,0.017,0.017,0.045,,,,,0.299,-4.464,0.487,0.017,141.854,,
13,1.1,1.717,1.717,0.441,0.018,0.018,0.045,0.289,0.334,3.531,118.969,0.302,-3.816,0.441,0.018,1322.315,,
13,1.1,,,0.32,0.017,0.017,0.045,,,,,0.294,-4.614,0.32,0.017,143.32,,
14,1.1,1.713,1.713,0.447,0.018,0.017,0.044,0.305,0.343,3.612,126.145,0.298,-3.954,0.447,0.018,1325.247,,
14,1.1,,,0.401,0.017,0.017,0.044,,,,,0.293,-4.732,0.401,0.017,151.524,,
15,1.1,1.711,1.711,0.451,0.018,0.017,0.044,0.324,0.356,3.784,136.119,0.296,-4.093,0.451,0.018,1318.32,,
15,1.1,,,0.575,0.017,0.016,0.044,,,,,0.291,-4.86,0.575,0.017,143.643,,
16,1.1,1.708,1.708,0.454,0.018,0.017,0.043,0.335,0.359,3.843,137.781,0.293,-4.216,0.454,0.018,1317.923,,
16,1.1,,,0.438,0.017,0.016,0.043,,,,,0.288,-4.961,0.438,0.017,148.305,,
17,1.1,1.702,1.702,0.459,0.018,0.017,0.042,0.344,0.361,3.892,142.617,0.291,-4.344,0.459,0.018,1318.699,,
17,1.1,,,0.454,0.017,0.016,0.043,,,,,0.287,-5.061,0.454,0.017,141.332,,
18,1.1,1.697,1.697,0.461,0.018,0.017,0.042,0.355,0.366,3.981,148.321,0.289,-4.461,0.461,0.018,1317.022,,
18,1.1,,,0.585,0.017,0.016,0.043,,,,,0.287,-5.134,0.585,0.017,147.526,,
19,1.1,1.693,1.693,0.465,0.018,0.016,0.042,0.363,0.369,4.054,150.553,0.288,-4.568,0.465,0.018,1318.565,,
19,1.1,,,0.156,0.017,0.016,0.043,,,,,0.285,-5.241,0.156,0.017,141.965,,
20,1.1,1.687,1.687,0.466,0.018,0.016,0.041,0.372,0.371,4.107,155.08,0.285,-4.683,0.466,0.018,1314.815,,
20,1.1,,,0.435,0.018,0.016,0.043,,,,,0.284,-5.293,0.435,0.018,147.637,,
21,1.1,1.682,1.682,0.469,0.018,0.016,0.041,0.38,0.372,4.158,154.141,0.284,-4.755,0.469,0.018,1321.321,,
21,1.1,,,0.41,0.018,0.016,0.042,,,,,0.284,-5.348,0.41,0.018,144.012,,
22,1.1,1.676,1.676,0.471,0.018,0.016,0.041,0.384,0.371,4.146,157.817,0.282,-4.844,0.471,0.018,1316.833,,
22,1.1,,,0.348,0.018,0.016,0.042,,,,,0.283,-5.422,0.348,0.018,147.458,,
23,1.1,1.672,1.672,0.474,0.018,0.016,0.04,0.386,0.368,4.153,155.646,0.281,-4.923,0.474,0.018,1322.534,,
23,1.1,,,0.398,0.018,0.016,0.042,,,,,0.282,-5.469,0.398,0.018,145.152,,
24,1.1,1.666,1.666,0.476,0.019,0.016,0.04,0.392,0.368,4.181,161.236,0.279,-4.97,0.476,0.019,1316.731,,
24,1.1,,,0.151,0.018,0.015,0.042,,,,,0.282,-5.539,0.151,0.018,149.859,,
25,1.1,1.661,1.661,0.478,0.019,0.016,0.04,0.395,0.367,4.16,156.086,0.278,-5.058,0.478,0.019,1317.525,,
25,1.1,,,0.148,0.018,0.015,0.042,,,,,0.281,-5.574,0.148,0.018,142.808,,
25,,,,,,,,,,,,,,,,110.041,-6.681,
25,,,,,,,,,,,,,,,,,,81.633
26,1.1,1.656,1.656,0.48,0.019,0.016,0.039,0.397,0.363,4.137,152.217,0.277,-5.106,0.48,0.019,1325.431,,
26,1.1,,,0.362,0.019,0.015,0.042,,,,,0.28,-5.615,0.362,0.019,158.363,,
27,1.1,1.652,1.652,0.481,0.019,0.016,0.039,0.4,0.361,4.135,154.824,0.276,-5.173,0.481,0.019,1337.859,,
27,1.1,,,0.696,0.018,0.015,0.041,,,,,0.278,-5.632,0.696,0.018,200.966,,
28,1.1,1.648,1.648,0.481,0.019,0.016,0.039,0.403,0.36,4.128,153.475,0.274,-5.239,0.481,0.019,1400.129,,
28,1.1,,,0.424,0.019,0.015,0.041,,,,,0.279,-5.66,0.424,0.019,149.188,,
29,1.1,1.645,1.645,0.483,0.019,0.015,0.039,0.402,0.355,4.091,157.219,0.273,-5.238,0.483,0.019,1328.792,,
29,1.1,,,0.225,0.019,0.015,0.041,,,,,0.277,-5.714,0.225,0.019,155.539,,
30,1.1,1.641,1.641,0.484,0.02,0.015,0.038,0.405,0.354,4.073,161.204,0.272,-5.29,0.484,0.02,1317.562,,
30,1.1,,,0.36,0.019,0.015,0.041,,,,,0.276,-5.746,0.36,0.019,154.71,,
31,1.1,1.638,1.638,0.482,0.02,0.015,0.038,0.404,0.352,4.031,163.052,0.271,-5.348,0.482,0.02,1330.467,,
31,1.1,,,0.502,0.02,0.015,0.041,,,,,0.275,-5.773,0.502,0.02,158.081,,
32,1.1,1.635,1.635,0.483,0.02,0.015,0.038,0.403,0.347,3.99,163.25,0.27,-5.422,0.483,0.02,1337.733,,
32,1.1,,,0.526,0.02,0.015,0.041,,,,,0.275,-5.799,0.526,0.02,154.187,,
33,1.1,1.632,1.632,0.482,0.02,0.015,0.038,0.403,0.346,3.95,167.286,0.268,-5.416,0.482,0.02,1329.376,,
33,1.1,,,0.258,0.02,0.015,0.041,,,,,0.274,-5.831,0.258,0.02,185.103,,
34,1.1,1.628,1.628,0.482,0.021,0.015,0.037,0.401,0.341,3.922,170.561,0.267,-5.467,0.482,0.021,1374.974,,
34,1.1,,,0.455,0.021,0.015,0.04,,,,,0.272,-5.843,0.455,0.021,163.557,,
35,1.1,1.626,1.626,0.481,0.021,0.015,0.037,0.4,0.339,3.886,170.94,0.267,-5.517,0.481,0.021,1337.797,,
35,1.1,,,0.535,0.021,0.015,0.04,,,,,0.272,-5.876,0.535,0.021,154.203,,
36,1.1,1.621,1.621,0.482,0.021,0.015,0.037,0.401,0.338,3.848,179.583,0.266,-5.568,0.482,0.021,1329.655,,
36,1.1,,,0.314,0.021,0.015,0.04,,,,,0.272,-5.895,0.314,0.021,152.324,,
37,1.1,1.619,1.619,0.481,0.021,0.015,0.037,0.402,0.337,3.827,179.564,0.265,-5.608,0.481,0.021,1337.406,,
37,1.1,,,0.49,0.021,0.015,0.04,,,,,0.271,-5.935,0.49,0.021,161.359,,
38,1.1,1.616,1.616,0.481,0.022,0.015,0.037,0.401,0.335,3.798,178.905,0.264,-5.646,0.481,0.022,1343.039,,
38,1.1,,,0.551,0.022,0.015,0.04,,,,,0.27,-5.933,0.551,0.022,158.464,,
39,1.1,1.612,1.612,0.482,0.022,0.015,0.036,0.402,0.332,3.778,181.508,0.263,-5.66,0.482,0.022,1338.651,,
39,1.1,,,0.502,0.022,0.015,0.04,,,,,0.27,-5.952,0.502,0.022,160.568,,
40,1.1,1.609,1.609,0.482,0.022,0.015,0.036,0.4,0.328,3.739,179.779,0.262,-5.695,0.482,0.022,1342.523,,
40,1.1,,,0.534,0.022,0.015,0.04,,,,,0.269,-5.99,0.534,0.022,159.624,,
41,1.1,1.608,1.608,0.482,0.022,0.015,0.036,0.399,0.326,3.711,178.947,0.261,-5.737,0.482,0.022,1330.981,,
41,1.1,,,0.504,0.022,0.015,0.04,,,,,0.268,-5.98,0.504,0.022,174.878,,
42,1.1,1.603,1.603,0.484,0.022,0.015,0.036,0.401,0.328,3.717,179.354,0.261,-5.731,0.484,0.022,1338.091,,
42,1.1,,,0.498,0.022,0.015,0.04,,,,,0.269,-5.999,0.498,0.022,156.031,,
43,1.1,1.605,1.605,0.482,0.022,0.015,0.036,0.399,0.324,3.687,179.576,0.261,-5.779,0.482,0.022,1348.108,,
43,1.1,,,0.482,0.022,0.015,0.039,,,,,0.268,-6.005,0.482,0.022,168.758,,
