Epoch,| bandwidth,d_loss,d_msstftd,adv_msstftd,feat_msstftd,l1,msspec,penalty,ratio1,g_loss,ratio2,mel,sisnr,adv,feat,duration,| sisnr,| duration
1,1.1,1.856,1.856,0.295,0.027,0.053,0.692,0.39,3.663,71.49,1250.456,1.37,27.802,0.295,0.027,578.89,,
1,1.1,,,0.374,0.038,0.045,0.255,,,,,0.827,25.856,0.374,0.038,188.421,,
2,1.1,1.672,1.672,0.528,0.031,0.041,0.154,0.064,0.156,7.083,275.819,0.603,18.311,0.528,0.031,515.151,,
2,1.1,,,0.454,0.024,0.033,0.104,,,,,0.485,8.638,0.454,0.024,155.248,,
3,1.1,1.538,1.538,0.547,0.025,0.026,0.086,0.098,0.178,3.314,68.502,0.441,2.608,0.547,0.025,525.749,,
3,1.1,,,0.145,0.022,0.022,0.07,,,,,0.393,-1.339,0.145,0.022,175.307,,
4,1.1,1.441,1.441,0.574,0.024,0.022,0.065,0.131,0.212,2.676,41.947,0.381,-1.176,0.574,0.024,484.937,,
4,1.1,,,0.283,0.022,0.02,0.057,,,,,0.348,-2.62,0.283,0.022,140.365,,
5,1.1,1.339,1.339,0.623,0.024,0.02,0.056,0.151,0.223,2.452,32.04,0.35,-1.961,0.623,0.024,467.266,,
5,1.1,,,0.479,0.021,0.019,0.051,,,,,0.324,-3.147,0.479,0.021,164.946,,
6,1.1,1.248,1.248,0.68,0.023,0.02,0.051,0.168,0.234,2.298,25.397,0.331,-2.402,0.68,0.023,472.875,,
6,1.1,,,0.713,0.021,0.018,0.047,,,,,0.307,-3.453,0.713,0.021,160.661,,
7,1.1,1.158,1.158,0.75,0.023,0.019,0.047,0.181,0.237,2.2,19.897,0.316,-2.738,0.75,0.023,472.683,,
7,1.1,,,0.85,0.021,0.018,0.045,,,,,0.298,-3.721,0.85,0.021,154.113,,
8,1.1,1.082,1.082,0.824,0.023,0.019,0.045,0.193,0.242,2.114,16.57,0.306,-2.993,0.824,0.023,466.137,,
8,1.1,,,0.734,0.022,0.018,0.043,,,,,0.29,-3.915,0.734,0.022,144.61,,
9,1.1,1.015,1.015,0.9,0.023,0.018,0.043,0.199,0.244,2.05,14.095,0.298,-3.268,0.9,0.023,489.228,,
9,1.1,,,0.65,0.022,0.017,0.042,,,,,0.282,-4.141,0.65,0.022,153.781,,
10,1.1,0.951,0.951,0.983,0.023,0.018,0.042,0.204,0.248,2.009,13.106,0.292,-3.512,0.983,0.023,480.709,,
10,1.1,,,0.69,0.023,0.017,0.04,,,,,0.276,-4.274,0.69,0.023,140.49,,
11,1.1,0.908,0.908,1.051,0.023,0.018,0.04,0.208,0.246,1.963,12.498,0.286,-3.66,1.051,0.023,468.928,,
11,1.1,,,0.966,0.022,0.017,0.04,,,,,0.273,-4.427,0.966,0.022,168.016,,
12,1.1,0.871,0.871,1.119,0.023,0.017,0.039,0.214,0.248,1.937,12.231,0.282,-3.791,1.119,0.023,475.718,,
12,1.1,,,1.005,0.023,0.017,0.039,,,,,0.27,-4.563,1.005,0.023,169.059,,
